name_of_city,population_total,location,lat,lon
Ahmadabad ,5570585,"23.022505,72.5713621",23.022505,72.5713621
Amreli ,105980,"21.6031774,71.2220832",21.6031774,71.2220832
Anand ,197351,"22.5645175,72.928871",22.5645175,72.928871
Bharuch ,168729,"21.7051358,72.9958748",21.7051358,72.9958748
Bhavnagar ,593768,"21.7644725,72.1519304",21.7644725,72.1519304
Bhuj ,147123,"23.2419997,69.6669324",23.2419997,69.6669324
Botad ,130302,"22.1704232,71.6684269",22.1704232,71.6684269
Deesa ,111149,"24.2585031,72.1906721",24.2585031,72.1906721
Gandhidham ,248705,"23.075297,70.133673",23.075297,70.133673
Gandhinagar ,208299,"23.2156354,72.6369415",23.2156354,72.6369415
Godhra ,143126,"22.7788044,73.6142795",22.7788044,73.6142795
Gondal ,112064,"21.9619463,70.792297",21.9619463,70.792297
Jamnagar ,529308,"22.4707019,70.05773",22.4707019,70.05773
Jetpur Navagadh ,118550,"21.7615246,70.6276279",21.7615246,70.6276279
Junagadh ,320250,"21.522184,70.4578768",21.522184,70.4578768
Kalol ,112126,"23.2463895,72.5086513",23.2463895,72.5086513
Mahesana ,184133,"23.5879607,72.3693252",23.5879607,72.3693252
Morvi ,188278,"22.8119895,70.8236195",22.8119895,70.8236195
Nadiad ,218150,"22.6915853,72.8633635",22.6915853,72.8633635
Navsari ,160100,"20.9467019,72.9520348",20.9467019,72.9520348
Palanpur ,127125,"24.174051,72.4330989",24.174051,72.4330989
Patan ,125502,"23.8493246,72.1266255",23.8493246,72.1266255
Porbandar ,152136,"21.6417069,69.6292654",21.6417069,69.6292654
Rajkot ,1286995,"22.3038945,70.8021599",22.3038945,70.8021599
Surat ,4462002,"21.1702401,72.8310607",21.1702401,72.8310607
Surendranagar Dudhrej ,177827,"22.7201319,71.649536",22.7201319,71.649536
Vadodara ,1666703,"22.3071588,73.1812187",22.3071588,73.1812187
Valsad ,114987,"20.5992349,72.9342451",20.5992349,72.9342451
Veraval ,153696,"20.9158979,70.3628516",20.9158979,70.3628516
